timestamp,cotation,market_status,last_price,open,high,low,prev_close,variation_pct,shares_traded,value_traded_mad,num_trades,market_cap
2026-04-28T10:43:40+01:00,2026-04-28T10:00+01:00,OPEN,700.0,692.0,700.0,692.0,691.8,1.19,763,534100.0,8,150598587300.0
2026-04-28T11:16:39+01:00,2026-04-28T10:52+01:00,OPEN,699.0,692.0,700.1,692.0,691.8,1.04,1326,926874.0,20,150383446461.0
2026-04-28T11:31:43+01:00,2026-04-28T10:52+01:00,OPEN,699.0,692.0,700.1,692.0,691.8,1.04,1326,926874.0,20,150383446461.0
2026-04-28T11:47:48+01:00,2026-04-28T11:22+01:00,OPEN,699.0,692.0,700.1,692.0,691.8,1.04,1330,929670.0,21,150383446461.0
2026-04-28T12:02:51+01:00,2026-04-28T11:37+01:00,OPEN,699.0,692.0,700.1,692.0,691.8,1.04,1341,937359.0,23,150383446461.0
2026-04-28T12:17:53+01:00,2026-04-28T12:02+01:00,OPEN,699.0,692.0,700.1,692.0,691.8,1.04,1353,945747.0,25,150383446461.0
2026-04-28T12:32:56+01:00,2026-04-28T12:14+01:00,OPEN,700.0,692.0,700.1,692.0,691.8,1.19,1358,950600.0,27,150598587300.0
2026-04-28T12:51:07+01:00,2026-04-28T12:34+01:00,OPEN,700.0,692.0,700.1,692.0,691.8,1.19,1390,973000.0,29,150598587300.0
2026-04-28T13:06:10+01:00,2026-04-28T12:42+01:00,OPEN,700.0,692.0,700.1,692.0,691.8,1.19,2348,1643600.0,55,150598587300.0
2026-04-28T13:21:12+01:00,2026-04-28T12:42+01:00,OPEN,700.0,692.0,700.1,692.0,691.8,1.19,2348,1643600.0,55,150598587300.0
2026-04-28T13:36:15+01:00,2026-04-28T13:20+01:00,OPEN,696.2,692.0,700.1,692.0,691.8,0.64,2608,1815689.0,57,149781052111.8
2026-04-28T14:08:02+01:00,2026-04-28T13:33+01:00,OPEN,696.2,692.0,700.1,692.0,691.8,0.64,7506,5225677.0,62,149781052111.8
2026-04-28T14:23:07+01:00,2026-04-28T13:33+01:00,OPEN,696.2,692.0,700.1,692.0,691.8,0.64,7506,5225677.0,63,149781052111.8
2026-04-28T14:38:12+01:00,2026-04-28T14:21+01:00,OPEN,698.0,692.0,700.1,692.0,691.8,0.9,7833,5467434.0,68,150168305622.0
2026-04-28T14:53:16+01:00,2026-04-28T14:21+01:00,OPEN,698.0,692.0,700.1,692.0,691.8,0.9,7833,5467434.0,68,150168305622.0
2026-04-28T15:11:12+01:00,2026-04-28T14:48+01:00,OPEN,697.0,692.0,700.1,692.0,691.8,0.75,8034,5599698.0,71,149953164783.0
2026-04-29T10:58:39+01:00,2026-04-29T10:34+01:00,OPEN,699.9,699.9,699.9,699.7,692.1,1.13,277,193872.0,9,150577073216.1
2026-04-29T11:13:44+01:00,2026-04-29T10:44+01:00,OPEN,697.0,699.9,699.9,693.0,692.1,0.71,517,360349.0,28,149953164783.0
2026-04-29T11:28:48+01:00,2026-04-29T11:13+01:00,OPEN,697.0,699.9,699.9,693.0,692.1,0.71,745,519265.0,33,149953164783.0
2026-04-29T11:43:52+01:00,2026-04-29T11:26+01:00,OPEN,697.0,699.9,699.9,693.0,692.1,0.71,775,540175.0,35,149953164783.0
2026-04-29T12:03:07+01:00,2026-04-29T11:32+01:00,OPEN,699.9,699.9,699.9,693.0,692.1,1.13,780,545922.0,36,150577073216.1
2026-05-04T13:37:41+01:00,2026-05-04T13:19+01:00,OPEN,696.0,695.1,700.0,695.1,696.0,0.0,9587,6672552.0,57,149738023944.0
2026-05-04T13:52:45+01:00,2026-05-04T13:37+01:00,OPEN,696.0,695.1,700.0,695.1,696.0,0.0,9972,6940512.0,63,149738023944.0
2026-05-04T14:07:48+01:00,2026-05-04T13:50+01:00,OPEN,696.0,695.1,700.0,695.1,696.0,0.0,10587,7368552.0,67,149738023944.0
2026-05-04T14:23:33+01:00,2026-05-04T13:50+01:00,OPEN,696.0,695.1,700.0,695.1,696.0,0.0,10587,7368552.0,67,149738023944.0
2026-05-04T14:42:35+01:00,2026-05-04T14:22+01:00,OPEN,697.0,695.1,700.0,695.0,696.0,0.14,12391,8636527.0,84,149953164783.0
2026-05-04T14:57:40+01:00,2026-05-04T14:32+01:00,OPEN,697.0,695.1,700.0,695.0,696.0,0.14,12397,8640709.0,85,149953164783.0
2026-05-04T15:12:45+01:00,2026-05-04T14:44+01:00,OPEN,696.0,695.1,700.0,695.0,696.0,0.0,12401,8631096.0,86,149738023944.0
2026-05-04T15:27:49+01:00,2026-05-04T14:44+01:00,OPEN,696.0,695.1,700.0,695.0,696.0,0.0,12401,8631096.0,86,149738023944.0
2026-05-04T15:46:47+01:00,2026-05-04T14:44+01:00,CLOSED,696.0,695.1,700.0,695.0,696.0,0.0,12401,8631096.0,86,149738023944.0
2026-05-05T10:04:32+01:00,2026-05-05T09:46+01:00,OPEN,696.5,696.5,698.0,696.5,696.0,0.07,1199,835103.0,8,149845594363.5
2026-05-05T10:19:37+01:00,2026-05-05T09:59+01:00,OPEN,696.5,696.5,698.0,696.5,696.0,0.07,2016,1404144.0,12,149845594363.5
2026-05-05T10:34:40+01:00,2026-05-05T09:59+01:00,OPEN,696.5,696.5,698.0,696.5,696.0,0.07,2016,1404144.0,12,149845594363.5
2026-05-05T10:49:43+01:00,2026-05-05T10:29+01:00,OPEN,696.5,696.5,698.0,696.5,696.0,0.07,2017,1404840.0,13,149845594363.5
2026-05-05T11:08:15+01:00,2026-05-05T10:36+01:00,OPEN,700.0,696.5,700.0,696.5,696.0,0.57,3147,2202900.0,28,150598587300.0
2026-05-05T11:23:18+01:00,2026-05-05T11:03+01:00,OPEN,700.0,696.5,700.0,696.5,696.0,0.57,13135,9194500.0,66,150598587300.0
2026-05-05T11:38:20+01:00,2026-05-05T11:22+01:00,OPEN,698.0,696.5,700.0,696.5,696.0,0.29,13140,9171720.0,67,150168305622.0
2026-05-05T11:53:23+01:00,2026-05-05T11:33+01:00,OPEN,698.0,696.5,700.0,696.5,696.0,0.29,13150,9178700.0,68,150168305622.0
2026-05-05T12:11:49+01:00,2026-05-05T11:43+01:00,OPEN,700.0,696.5,700.0,696.5,696.0,0.57,16157,11309900.0,71,150598587300.0
2026-05-05T12:26:53+01:00,2026-05-05T11:43+01:00,OPEN,700.0,696.5,700.0,696.5,696.0,0.57,16157,11309900.0,71,150598587300.0
2026-05-05T12:41:56+01:00,2026-05-05T12:17+01:00,OPEN,698.0,696.5,700.0,696.5,696.0,0.29,16162,11281076.0,72,150168305622.0
2026-05-05T12:56:58+01:00,2026-05-05T12:17+01:00,OPEN,698.0,696.5,700.0,696.5,696.0,0.29,16162,11281076.0,72,150168305622.0
2026-05-05T13:15:29+01:00,2026-05-05T12:17+01:00,OPEN,698.0,696.5,700.0,696.5,696.0,0.29,16162,11281076.0,72,150168305622.0
2026-05-05T13:30:32+01:00,2026-05-05T12:17+01:00,OPEN,698.0,696.5,700.0,696.5,696.0,0.29,16162,11281076.0,72,150168305622.0
2026-05-05T13:45:36+01:00,2026-05-05T12:17+01:00,OPEN,698.0,696.5,700.0,696.5,696.0,0.29,16162,11281076.0,72,150168305622.0
2026-05-05T14:00:38+01:00,2026-05-05T12:17+01:00,OPEN,698.0,696.5,700.0,696.5,696.0,0.29,16162,11281076.0,72,150168305622.0
2026-05-05T14:19:17+01:00,2026-05-05T14:02+01:00,OPEN,698.0,696.5,700.0,696.5,696.0,0.29,16163,11281774.0,73,150168305622.0
2026-05-05T14:34:20+01:00,2026-05-05T14:10+01:00,OPEN,698.0,696.5,700.0,696.5,696.0,0.29,16177,11291546.0,74,150168305622.0
2026-05-05T14:49:24+01:00,2026-05-05T14:26+01:00,OPEN,690.0,696.5,700.0,690.0,696.0,-0.86,17051,11765190.0,132,148447178910.0
