timestamp,bid1_orders,bid2_orders,bid3_orders,bid4_orders,bid5_orders,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty,bid1_price,bid2_price,bid3_price,bid4_price,bid5_price,ask1_price,ask2_price,ask3_price,ask4_price,ask5_price,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,ask1_orders,ask2_orders,ask3_orders,ask4_orders,ask5_orders
2026-04-28T10:43:40+01:00,1.0,3.0,1.0,1.0,1.0,200.0,76.0,150.0,20.0,28.0,700.1,700.0,695.0,694.0,693.5,703.0,704.0,705.0,707.0,707.5,20.0,10.0,400.0,1.0,141.0,1.0,1.0,4.0,1.0,1.0
2026-04-28T11:16:39+01:00,1.0,1.0,1.0,1.0,1.0,28.0,122.0,89.0,2.0,2.0,696.0,695.1,695.0,693.6,693.1,699.0,700.0,703.0,704.9,705.0,31.0,246.0,155.0,120.0,608.0,1.0,5.0,1.0,1.0,6.0
2026-04-28T11:31:43+01:00,1.0,1.0,1.0,1.0,1.0,28.0,122.0,89.0,2.0,2.0,696.0,695.1,695.0,694.0,693.6,699.0,700.0,703.0,704.9,705.0,31.0,246.0,155.0,120.0,608.0,1.0,5.0,1.0,1.0,6.0
2026-04-28T11:47:48+01:00,1.0,1.0,3.0,1.0,1.0,271.0,28.0,109.0,2.0,2.0,696.1,696.0,695.0,694.0,693.6,699.0,700.0,703.0,704.9,705.0,27.0,246.0,155.0,120.0,608.0,1.0,5.0,1.0,1.0,6.0
2026-04-28T12:02:51+01:00,1.0,2.0,3.0,1.0,1.0,421.0,43.0,109.0,2.0,2.0,696.1,696.0,695.0,694.0,693.6,699.0,700.0,703.0,704.9,705.0,16.0,246.0,155.0,120.0,608.0,1.0,5.0,1.0,1.0,6.0
2026-04-28T12:17:53+01:00,1.0,2.0,3.0,1.0,1.0,421.0,43.0,109.0,2.0,2.0,696.1,696.0,695.0,694.0,693.6,699.0,700.0,703.0,704.9,705.0,4.0,246.0,155.0,120.0,608.0,1.0,5.0,1.0,1.0,6.0
2026-04-28T12:32:56+01:00,2.0,1.0,2.0,3.0,1.0,2.0,421.0,43.0,109.0,2.0,699.0,696.1,696.0,695.0,694.0,700.0,703.0,704.9,705.0,707.0,245.0,155.0,120.0,608.0,116.0,5.0,1.0,1.0,6.0,2.0
2026-04-28T12:51:07+01:00,2.0,1.0,2.0,3.0,1.0,2.0,570.0,43.0,109.0,2.0,699.0,696.1,696.0,695.0,694.0,700.0,703.0,704.9,705.0,707.0,213.0,155.0,120.0,1008.0,116.0,5.0,1.0,1.0,7.0,2.0
2026-04-28T13:06:10+01:00,1.0,1.0,1.0,2.0,5.0,10.0,60.0,8.0,15.0,63.0,696.1,696.0,695.1,695.0,693.0,700.0,703.0,704.9,705.0,707.0,159.0,485.0,120.0,1018.0,116.0,3.0,2.0,1.0,8.0,2.0
2026-04-28T13:21:12+01:00,1.0,1.0,1.0,2.0,4.0,10.0,60.0,8.0,15.0,33.0,696.1,696.0,695.1,695.0,693.0,700.0,703.0,704.9,705.0,707.0,159.0,485.0,120.0,1018.0,116.0,3.0,2.0,1.0,8.0,2.0
2026-04-28T13:36:15+01:00,1.0,1.0,1.0,1.0,2.0,245.0,10.0,60.0,8.0,15.0,696.2,696.1,696.0,695.1,695.0,700.0,703.0,704.9,705.0,707.0,154.0,485.0,120.0,1018.0,116.0,3.0,2.0,1.0,8.0,2.0
2026-04-28T14:08:02+01:00,1.0,2.0,1.0,2.0,1.0,10.0,65.0,8.0,15.0,3.0,696.1,696.0,695.1,695.0,694.1,699.0,700.0,703.0,704.9,705.0,20.0,381.0,485.0,120.0,768.0,1.0,3.0,2.0,1.0,7.0
2026-04-28T14:23:07+01:00,1.0,1.0,2.0,1.0,2.0,45.0,10.0,65.0,8.0,15.0,696.2,696.1,696.0,695.1,695.0,698.0,699.0,700.0,703.0,704.9,330.0,20.0,381.0,155.0,120.0,1.0,1.0,3.0,1.0,1.0
2026-04-28T14:38:12+01:00,1.0,1.0,1.0,1.0,3.0,50.0,149.0,3.0,10.0,67.0,697.0,696.3,696.2,696.1,696.0,698.0,699.0,700.0,703.0,704.9,208.0,20.0,895.0,155.0,120.0,1.0,1.0,9.0,1.0,1.0
2026-04-28T14:53:16+01:00,1.0,1.0,1.0,1.0,3.0,149.0,50.0,3.0,10.0,67.0,697.1,697.0,696.2,696.1,696.0,698.0,699.0,700.0,703.0,704.9,208.0,20.0,1097.0,155.0,120.0,1.0,1.0,10.0,1.0,1.0
2026-04-28T15:11:12+01:00,1.0,1.0,3.0,2.0,3.0,3.0,10.0,67.0,11.0,115.0,696.2,696.1,696.0,695.1,695.0,697.0,698.0,699.0,700.0,703.0,26.0,208.0,20.0,1097.0,155.0,1.0,1.0,1.0,10.0,1.0
