timestamp,bid1_orders,bid2_orders,bid3_orders,bid4_orders,bid5_orders,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty,bid1_price,bid2_price,bid3_price,bid4_price,bid5_price,ask1_price,ask2_price,ask3_price,ask4_price,ask5_price,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,ask1_orders,ask2_orders,ask3_orders,ask4_orders,ask5_orders
2026-05-05T10:04:32+01:00,1.0,5.0,5.0,1.0,4.0,125.0,21.0,425.0,5.0,143.0,696.5,696.0,695.0,693.2,692.0,698.0,699.0,700.0,704.0,704.5,72.0,43.0,1330.0,100.0,440.0,1.0,1.0,15.0,1.0,1.0
2026-05-05T10:19:37+01:00,1.0,5.0,5.0,1.0,4.0,500.0,21.0,425.0,5.0,143.0,696.5,696.0,695.0,693.2,692.0,698.0,699.0,700.0,704.0,704.5,72.0,43.0,1185.0,100.0,440.0,1.0,1.0,15.0,1.0,1.0
2026-05-05T10:34:40+01:00,1.0,6.0,5.0,1.0,4.0,500.0,26.0,425.0,5.0,143.0,696.5,696.0,695.0,693.2,692.0,698.0,699.0,700.0,704.0,704.5,72.0,293.0,1185.0,100.0,440.0,1.0,2.0,15.0,1.0,1.0
2026-05-05T10:49:43+01:00,1.0,6.0,5.0,1.0,4.0,499.0,26.0,425.0,5.0,143.0,696.5,696.0,695.0,693.2,692.0,698.0,699.0,700.0,704.0,704.5,72.0,293.0,1215.0,100.0,440.0,1.0,2.0,16.0,1.0,1.0
2026-05-05T11:08:15+01:00,1.0,2.0,6.0,5.0,1.0,70.0,387.0,26.0,625.0,5.0,696.6,696.5,696.0,695.0,693.2,700.0,703.0,704.0,704.5,705.0,1200.0,5.0,100.0,440.0,145.0,21.0,1.0,1.0,1.0,4.0
2026-05-05T11:23:18+01:00,1.0,1.0,1.0,6.0,4.0,65.0,1.0,10.0,26.0,25.0,698.0,697.0,696.5,696.0,695.0,703.0,704.0,704.5,705.0,706.0,15.0,100.0,440.0,145.0,48.0,2.0,1.0,1.0,4.0,2.0
2026-05-05T11:38:20+01:00,1.0,1.0,1.0,6.0,4.0,60.0,1.0,10.0,26.0,25.0,698.0,697.0,696.5,696.0,695.0,703.0,704.0,704.5,705.0,706.0,15.0,100.0,440.0,145.0,48.0,2.0,1.0,1.0,4.0,2.0
2026-05-05T11:53:23+01:00,1.0,1.0,1.0,6.0,4.0,50.0,1.0,10.0,26.0,25.0,698.0,697.0,696.5,696.0,695.0,700.0,703.0,704.0,704.5,705.0,5.0,15.0,100.0,440.0,145.0,1.0,2.0,1.0,1.0,4.0
2026-05-05T12:11:49+01:00,1.0,1.0,1.0,5.0,4.0,50.0,1.0,10.0,21.0,25.0,698.0,697.0,696.5,696.0,695.0,703.0,704.0,704.5,705.0,706.0,57.0,100.0,440.0,345.0,48.0,3.0,1.0,1.0,5.0,2.0
2026-05-05T12:26:53+01:00,1.0,1.0,1.0,5.0,4.0,50.0,1.0,10.0,21.0,25.0,698.0,697.0,696.5,696.0,695.0,703.0,704.0,704.5,705.0,706.0,57.0,100.0,440.0,486.0,48.0,3.0,1.0,1.0,6.0,2.0
2026-05-05T12:41:56+01:00,1.0,1.0,1.0,5.0,4.0,45.0,1.0,10.0,21.0,25.0,698.0,697.0,696.5,696.0,695.0,703.0,704.0,704.5,705.0,706.0,57.0,100.0,440.0,486.0,48.0,3.0,1.0,1.0,6.0,2.0
2026-05-05T12:56:58+01:00,1.0,1.0,1.0,6.0,4.0,45.0,1.0,10.0,51.0,25.0,698.0,697.0,696.5,696.0,695.0,700.0,703.0,704.0,704.5,705.0,200.0,157.0,100.0,440.0,486.0,1.0,4.0,1.0,1.0,6.0
2026-05-05T13:15:29+01:00,2.0,1.0,1.0,5.0,4.0,55.0,1.0,10.0,49.0,25.0,698.0,697.0,696.5,696.0,695.0,700.0,703.0,704.0,704.5,705.0,200.0,157.0,100.0,440.0,486.0,1.0,4.0,1.0,1.0,6.0
2026-05-05T13:30:32+01:00,2.0,1.0,1.0,5.0,4.0,55.0,1.0,10.0,49.0,25.0,698.0,697.0,696.5,696.0,695.0,700.0,703.0,704.0,704.5,705.0,459.0,115.0,100.0,440.0,486.0,4.0,3.0,1.0,1.0,6.0
2026-05-05T13:45:36+01:00,2.0,1.0,1.0,5.0,4.0,55.0,1.0,10.0,49.0,25.0,698.0,697.0,696.5,696.0,695.0,700.0,703.0,704.0,704.5,705.0,471.0,115.0,100.0,440.0,486.0,5.0,3.0,1.0,1.0,6.0
2026-05-05T14:00:38+01:00,2.0,1.0,1.0,5.0,4.0,55.0,1.0,10.0,49.0,25.0,698.0,697.0,696.5,696.0,695.0,700.0,703.0,704.0,704.5,705.0,471.0,115.0,100.0,440.0,486.0,5.0,3.0,1.0,1.0,6.0
2026-05-05T14:19:17+01:00,2.0,1.0,1.0,5.0,5.0,54.0,1.0,10.0,49.0,27.0,698.0,697.0,696.5,696.0,695.0,700.0,703.0,704.0,704.5,705.0,471.0,115.0,100.0,440.0,486.0,5.0,3.0,1.0,1.0,6.0
